аббревиатура аббревиатуры
аварский аварский
адг адг
адгезионный адгезионная
адгезия адгезии адгезия
аддикция аддикция
адыгейский адыгейский
азербайджанский азербайджанский
айнский айнский
академик академик академике
албанский албанский
алтайский алтайский
английский английский английском
ангнуть англо
анодирование анодирование
антидиуретический антидиуретический
арабский арабский
арагонский арагонский
армянский армянский
арумынский арумынский
астурийский астурийский
африкаанс африкаанс
багобо багобо
баскский баскский
башкирский башкирский
белорусский белорусский
биосовместимый биосовместимые
болгарский болгарский
больной больных
брюшной брюшной
бурятский бурятский
важный важнейших
валлийский валлийский
варайский варайский
венгерский венгерский
вепсский вепсский
верхнелужицкий верхнелужицкий
взаимодействие взаимодействием взаимодействиями
водский водский
возникать возникает возникают возникающая
возникнуть возникла
волокнистый волокнистой
воспалить воспаленной
вторичный вторичной
второй второй
выбрать выберите
выделить выделенное
высохший высохшей
вьетнамский вьетнамский
гаитянский гаитянский
геологический геологическая
гормон гормон
гост гост
грануляционный грануляционной
греческий греческий
грузинский грузинский
гуарани гуарани
гэльский гэльский
датский датский
два двух
двигаться движущихся
документ документа
документация документации
долганский долганский
древнерусский древнерусский
друг друг другом другу
жидкий жидких жидкой
заживление заживления
запомнить запомнить
затрачивать затрачиваемой
зернистый зернистой
иврит иврит
игра игры
идиш идиш
ижорский ижорский
ингушский ингушский
индонезийский индонезийский
интернет интернете
инупиак инупиак
ирландский ирландский
искать искать
исландский исландский
испанский испанский
источник источник
итальянский итальянский
йоруба йоруба
казахский казахский
капиллярный капиллярная
карачаевский карачаевский
каталанский каталанский
квение квенья
кечуа кечуа
киргизский киргизский
китайский китайский
кишечник кишечника
кишечный кишечными
клавиша клавишей
клингонский клингонский
книга книги
коагуляция коагуляция
когезия когезия
коллоидный коллоидная
коми коми
контакт контакт контакта
копировать копировать
корейский корейский
край края
крайне крайне
краска краски
краткий краткий
кри кри
крымскотатарский крымскотатарский
кумыкский кумыкский
курдский курдский
курсовой курсовая
кхмерский кхмерский
лак лаки
лата лат
латинский латинский
латышский латышский
лингала лингала
литовский литовский
люксембургский люксембургский
майя майя
македонский македонский
малайский малайский
мало мало
маньчжурский маньчжурский
маори маори
марийский марийский
масштабный масштабном
медицина медицине
медицинский медицинские медицинский
межмол межмол
межмолекулярный межмолекулярным межмолекулярными
место местах
металлургический металлургических
металлургия металлургии металлургия
микенский микенский
микро микро
мокшанский мокшанский
молдавский молдавский
монгольский монгольский
мышца мышцы
мышь мыши
нажать нажмите
найти найти
нано нано
нанотехнология нанотехнологии нанотехнологий
нанотрибология нанотрибология
нанофармакология нанофармакология
например например
науатль науатль
немецкий немецкий
непроходимость непроходимость
нидерландский нидерландский
ногайский ногайский
норвежский норвежский
нормативный нормативно
нужный нужна
область области
обнаруживаться обнаруживается
образоваться образующейся
обратный обратная
обусловить обусловлена
ограничение ограничению
одать ожет
означать означает
околосердечный околосердечной
окрашивать окрашиваемой
операция операций
определение определение определения
оригинал оригинал
орокский орокский
осетинский осетинский
османский османский
основать основано
отнести отнесенной
папьяменто папьяменто
пасть пали
пенджабский пенджабский
первичный первичной
перевод переводах переводы
переводчик переводчика
персидский персидский
петля петлями
плотно плотно
площадь площади
плёнка пленкой
поверхность поверхностей поверхности поверхностью поверхностями
поделиться поделиться
покрытие покрытия
полиграфия полиграфии
полный полная
полость полости
польский польский
пометить пометить
помощь помощи
португальский португальский
правый правой
привести приведенных приведённых привести
приклеивание приклеивание
прилегать прилегают
прилипание прилипание
притяжение притяжение
процесс процесс
прочность прочность
прямой прямая
путешествие путешествия
работа работой
разделение разделение
различный различных
разнородный разнородных
рана раны
редкий редких
реклама реклама
румынский румынский
русский русский
сайт сайт сайте сайты
санскрит санскрит
связанный связанные
связь связи связь связью
сделать сделанные
северносаамский северносаамский
сербский сербский
сердечный сердечной
сефардский сефардский
сила сил сила
силезский силезский
синоним синонимы
склеивание склеивание
слипание слипание
словарь словарей словари словарь словарях
словацкий словацкий
словенский словенский
случай случаях
смежный смежными
смотреть смотреть
совокупность совокупность
соединение соединение
соединительный соединительной
соединяться соединяются
сокращение сокращений
спайка спайка спайки
справочник справочник
ссылка ссылка ссылкой ссылку
старославянский старославянский
суахили суахили
сумка сумке
сустав суставов
сцепление сцепление сцепления
тагальский тагальский
таджикский таджикский
тайский тайский
татарский татарский
тв тв
тви тви
твёрдый твердой твердых твёрдых
текст текст
тело тел
тереться трущихся
термин термин терминов термины
технический технического технической
техподдержка техподдержка
тибетский тибетский
ткань ткани
толкование толкование толкования
толковый толковый
тофаларский тофаларский
травмированный травмированной
трение трение
тувинский тувинский
турецкий турецкий
туркменский туркменский
удмуртский удмуртский
узбекский узбекский
уйгурский уйгурский
украинский украинский
урд урду
урумский урумский
условие условии
фаза фаз фазой
фарерский фарерский
физический физической
финский финский
французский французский
характеризоваться характеризуется
характеристика характеристик
хим хим
химический химической
химия химии химия
хинди хинди
хорватский хорватский
церковнославянский церковнославянский
часто часто
черкесский черкесский
чероки чероки
чеченский чеченский
чешский чешский
чувашский чувашский
шайенский шайенского
шведский шведский
шорский шорский
шумерский шумерский
эвенкийский эвенкийский
экспорт экспорт
эльзасский эльзасский
энциклопедический энциклопедический
энциклопедия энциклопедии энциклопедия
эрзянский эрзянский
эсперанто эсперанто
эстонский эстонский
юпийский юпийский
язык язык языки
якутский якутский
японский японский
