аборт аборта
аварский аварский
адинамия адинамия
аднекс аднекс
аднексит аднексит аднексита аднексите
адреналин адреналин
адыгейский адыгейский
азербайджанский азербайджанский
айнский айнский
академик академик академике
албанский албанский
алтайский алтайский
анат анат
ангина ангине
английский английский
арабский арабский
арагонский арагонский
армянский армянский
арумынский арумынский
астурийский астурийский
африкаанс африкаанс
багобо багобо
баскский баскский
башкирский башкирский
белорусский белорусский
беременность беременности
бесплодие бесплодия
болгарский болгарский
болезненный болезненными
болезнетворный болезнетворными
боль боли болями
больший большая
большой большой
бурятский бурятский
валлийский валлийский
варайский варайский
введение введении
венгерский венгерский
вепсский вепсский
верхнелужицкий верхнелужицкий
вести ведет
вещество веществ
вздутие вздутие
влагалище влагалища
вмешательство вмешательства
внебольничный внебольничного
внематочный внематочной
внизу внизу
внутренний внутренних
водский водский
возбудитель возбудители
возникать возникает возникают
возникнуть возникнуть
воспаление воспаление
воспалительный воспалительный воспалительных
врач врача врачу
время время
выбрать выберите
выделить выделенное
вызвать вызванное
вызываться вызывается
вьетнамский вьетнамский
гаитянский гаитянский
гигиена гигиены
гонококк гонококками гонококком
градус градусов
греческий греческий
грузинский грузинский
гуарани гуарани
гэльский гэльский
дальнейший дальнейшем
датский датский
долганский долганский
др др
древнерусский древнерусский
естествознание естествознание
живот живота
заболевание заболевание
запомнить запомнить
защитный защитные
иврит иврит
игра игры
играть играют
идиш идиш
ижорский ижорский
ингушский ингушский
индонезийский индонезийский
иногда иногда
иностранный иностранных
интернет интернете
инупиак инупиак
инфекция инфекции
ирландский ирландский
искать искать
исландский исландский
испанский испанский
источник источник
ит ит
итальянский итальянский
йод йода
йоруба йоруба
казахский казахский
карачаевский карачаевский
каталанский каталанский
квалифицировать квалифицированное
квение квенья
кечуа кечуа
киргизский киргизский
китайский китайский
кишечник кишечника
кишечный кишечной
клавиша клавишей
клингонский клингонский
книга книги
кол кол
коми коми
копировать копировать
корейский корейский
крестец крестца
кри кри
криминальный криминального
кровеносный кровеносным
крымскотатарский крымскотатарский
кумыкский кумыкский
курдский курдский
кхмерский кхмерский
лата лат
латинский латинский
латышский латышский
лечение лечение лечении
лингала лингала
литовский литовский
лифматический лифматическим
личный личной
ло ло
люксембургский люксембургский
майя майя
македонский македонский
малайский малайский
маньчжурский маньчжурский
маори маори
марийский марийский
матка матки
маточный маточных
медицинский медицинская медицинские медицинский
менструация менструации
микенский микенский
микобактерия микобактерией
микроб микробами микробы
мокшанский мокшанский
молдавский молдавский
монгольский монгольский
мочеиспускание мочеиспускании
мышь мыши
нажать нажмите
найти найти
например например
напряжение напряжение напряжении
нарушение нарушения
нарушют нарушют
науатль науатль
немецкий немецкий
необходимо необходимо
неправильный неправильном
нервно нервно
несоблюдение несоблюдении
нидерландский нидерландский
нир нир
новый новый
ногайский ногайский
норвежский норвежский
обильный обильными
область области
обострение обострения
образование образованию
обратиться обратиться
обратный обратная
общий общее
огромный огромную
оофорита оофорит
оперативный оперативного
опорожнение опорожнении
орган органах органов
организм организма
орокский орокский
орфографический орфографический
осетинский осетинский
османский османский
осн осн
основной основные
особенно особенно
острый острый
охлаждение охлаждении
палочка палочкой
папьяменто папьяменто
пасть пали
педагогика педагогике
пенджабский пенджабский
перевод перевод переводах переводы
перейти перейти
переохлаждение переохлаждение
переутомление переутомление переутомлении
персидский персидский
пингоофорит пингоофорит
повышаться повышается повышаться
поделиться поделиться
половой половых
полость полость
польский польский
пометить пометить
помочь поможем
попасть попасть
популярный популярная
португальский португальский
правило правил
правый правой
предписание предписаний
прерывание прерывания
придатковый придатков
придаток придатки
причина причиной
провоцировать провоцируют
продолжительный продолжительными
проникать проникают
проходимость проходимость
процесс процесс процессах
прямой прямая
психический психическое
психология психологии
путешествие путешествия
развитие развитие
различный различных
рвота рвота
резко резко
реклама реклама
роды родов
роль роль
румынский румынский
русский русский русского
сайт сайт сайте сайты
салить саль
сальпингоофорит сальпингоофорит
сальпингсофорит сальпингсофорит
санскрит санскрит
связь связь
сделать сделанные сделать
северносаамский северносаамский
сербский сербский
сефардский сефардский
силезский силезский
сильный сильными
симптом симптомах симптомы
син син
синоним синонимов синонимы
словарь словарей словари словарь словарях
словацкий словацкий
словенский словенский
слово слов
случай случаях
смотреть см смотреть
снижать снижающие
сношение сношений
советский советская
состояние состояние
сосуд сосудами
спайка спаек
специалист специалиста
спирт спирта
ссылка ссылка ссылкой ссылку
становиться становятся
старославянский старославянский
стать стать
стафи стафи
стафилококк стафилококками стафилококком
стафить стафило
стрептококк стрептококками стрептококком
стрептый стрепто
суахили суахили
сущий сущ
тагальский тагальский
таджикский таджикский
тайский тайский
татарский татарский
тви тви
текст текст
тело тела
температура температура
термин термины
техподдержка техподдержка
тибетский тибетский
ткань тканей
тмакть тмакти
толкование толкование толкования
тофаларский тофаларский
тошнота тошнота
требовать требует
тришина тришин
труба труб
туберкулёз туберкулеза туберкулезе
туберкулёзный туберкулезной
тувинский тувинский
турецкий турецкий
туркменский туркменский
тяжёлый тяжелых
удмуртский удмуртский
узбекский узбекский
уйгурский уйгурский
украинский украинский
урд урду
урумский урумский
усиливаться усиливаются
ухудшаться ухудшается
фактор факторы
фарерский фарерский
физический физическом
финский финский
форма форму
французский французский
функция функции
характеризоваться характеризуется
химический химических
хинди хинди
хламидия хламидиями
хорватский хорватский
хронический хронический хроническом хроническую
цель целью
церковнославянский церковнославянский
черкесский черкесский
чероки чероки
чеченский чеченский
чешский чешский
чувашский чувашский
шайенский шайенского
шведский шведский
шорский шорский
шумерский шумерский
эвенкийский эвенкийский
экспорт экспорт
эльзасский эльзасский
энциклопедический энциклопедический
энциклопедия энциклопедии энциклопедия
эрзянский эрзянский
эсперанто эсперанто
эстонский эстонский
юпийский юпийский
язык язык языка языки
яичниковый яичников
якутский якутский
японский японский
