абдомина абдомин
абдомино абдомино
абдоминоскопия абдоминоскопия
абдуктор абдуктор
аварский аварский
адыгейский адыгейский
азербайджанский азербайджанский
айнский айнский
академик академик академике
албанский албанский
алтайский алтайский
американский американским
английский английский
анэстезия анэстезией
арабский арабский
арагонский арагонский
армянский армянский
арумынский арумынский
астурийский астурийский
африкаанс африкаанс
багобо багобо
баскский баскский
башкирский башкирский
белорусский белорусский
болгарский болгарский
больший большая
брюшной брюшная брюшной брюшную
бурятский бурятский
валлийский валлийский
варайский варайский
введение введения
вводиться вводится
венгерский венгерский
вепсский вепсский
верхнелужицкий верхнелужицкий
водский водский
воздух воздух
выбрать выберите
выделить выделенное
выполняться выполняется
вьетнамский вьетнамский
газ газа
гаитянский гаитянский
греча греч
греческий греческий
грузинский грузинский
гуарани гуарани
гэльский гэльский
датский датский
долганский долганский
древнерусский древнерусский
живот живот
запомнить запомнить
иврит иврит
игра игры
идиш идиш
ижорский ижорский
ингушский ингушский
индонезийский индонезийский
инструмент инструмента
интернет интернете
инупиак инупиак
ирландский ирландский
искать искать
исландский исландский
испанский испанский
источник источник
итальянский итальянский
йоруба йоруба
казахский казахский
карачаевский карачаевский
каталанский каталанский
квение квенья
кечуа кечуа
киргизский киргизский
китайский китайский
клавиша клавишей
клингонский клингонский
книга книги
коми коми
контрольный контрольную
копировать копировать
корейский корейский
кри кри
крымскотатарский крымскотатарский
кумыкский кумыкский
курдский курдский
кхмерский кхмерский
лапароскоп лапароскопа
лапароскопия лапароскопия
лата лат
латинский латинский
латышский латышский
лингала лингала
литовский литовский
люксембургский люксембургский
майя майя
македонский македонский
малайский малайский
маньчжурский маньчжурский
маори маори
марийский марийский
медицина медицине
медицинский медицинская медицинские медицинский
местный местной
метод метод
микенский микенский
мокшанский мокшанский
молдавский молдавский
монгольский монгольский
мышь мыши
нажать нажмите
найти найти
науатль науатль
небольшой небольшой
немецкий немецкий
нидерландский нидерландский
новый новый
ногайский ногайский
норвежский норвежский
обратный обратная
обследование обследование
ом ом
орган органов
орокский орокский
осветить освещенного
осетинский осетинский
османский османский
осмотр осмотра
папьяменто папьяменто
пасть пали
пегий пег
пенджабский пенджабский
перевод переводах переводы
перитонеоскопия перитонеоскопия
персидский персидский
поделиться поделиться
полого полого
полость полости полость
польский польский
пометить пометить
помощь помощью
португальский португальский
правый правой
предложить предложенный
прокалываться прокалывается
прямой прямая
путешествие путешествия
разрез разрез
расположить расположенных
реклама реклама
решить решить
румынский румынский
русский русский
сайт сайт сайте сайты
санскрит санскрит
связь связь
сделать сделанные
северносаамский северносаамский
сербский сербский
сефардский сефардский
силезский силезский
словарь словарей словари словарь словарях
словацкий словацкий
словенский словенский
смотреть см смотреть
содержимое содержимого
сор сору
ссылка ссылка ссылкой ссылку
старославянский старославянский
стенка стенка стенке
суахили суахили
тагальский тагальский
таджикский таджикский
тайский тайский
татарский татарский
тви тви
текст текст
термин термины
техподдержка техподдержка
тибетский тибетский
толкование толкование толкования
толковый толковый
тофаларский тофаларский
троакар троакаром
трубчатый трубчатого
тувинский тувинский
турецкий турецкий
туркменский туркменский
углекислый углекислого
удмуртский удмуртский
узбекский узбекский
уйгурский уйгурский
украинский украинский
урд урду
урумский урумский
фарерский фарерский
финский финский
французский французский
хинди хинди
хирург хирургом
хорватский хорватский
церковнославянский церковнославянский
черкесский черкесский
чероки чероки
чеченский чеченский
чешский чешский
чувашский чувашский
шайенский шайенского
шведский шведский
шорский шорский
шумерский шумерский
эвенкийский эвенкийский
экспорт экспорт
эльзасский эльзасский
энциклопедия энциклопедии энциклопедия
эрзянский эрзянский
эсперанто эсперанто
эстонский эстонский
юпийский юпийский
язык язык языки
якутский якутский
японский японский
