абластик абластика
абль абля
абляцио абляцио
абляционный абляционные
абляция абляции абляция
аборт аборт
аварский аварский
адыгейский адыгейский
азербайджанский азербайджанский
айнский айнский
айсберг айсбергов
академик академик академике
албанский албанский
алтайский алтайский
англ англ
английский английский
аппарат аппаратов
арабский арабский
арагонский арагонский
армянский армянский
арумынский арумынский
астурийский астурийский
африкаанс африкаанс
багобо багобо
баскский баскский
башкирский башкирский
белорусский белорусский
болгарский болгарский
большой большой
бурятский бурятский
валлийский валлийский
варайский варайский
венгерский венгерский
вепсский вепсский
верхнелужицкий верхнелужицкий
ветер ветра ветром
вещество веществ
википедия википедия
викисловарь викисловаре
внутренний внутреннюю
вода воды
водский водский
воздействие воздействием
вход входе
выбрать выберите
выветривание выветривания
выделить выделенное
вымывание вымывание
высокотемпературный высокотемпературного
вьетнамский вьетнамский
газ газа
газовый газового
гаитянский гаитянский
галлицизм галлицизмов
география географии
геол геол
геологический геологическая геологический
геология геологии
геоморфология геоморфологии
гляциология гляциологии
головной головных
горячее горячего
гост гост
греческий греческий
грузинский грузинский
гуарани гуарани
гэльский гэльский
дальский дальского
датский датский
действие действием
денудация денудации
долганский долганский
древнерусский древнерусский
зависеть зависящее
запомнить запомнить
защита защита
иврит иврит
игра игры
идиш идиш
ижорский ижорский
ингушский ингушский
индонезийский индонезийский
иногда иногда
интернет интернете
инупиак инупиак
ирландский ирландский
искать искать
исландский исландский
испанский испанский
испарение испарения
использоваться используется
исторический исторический
источник источник
итальянский итальянский
йоруба йоруба
казахский казахский
карачаевский карачаевский
каталанский каталанский
квение квенья
кечуа кечуа
киргизский киргизский
китайский китайский
клавиша клавишей
климатический климатических
клингонский клингонский
книга книги
кол кол
коми коми
конструкция конструкции
контрольный контрольную
копировать копировать
корейский корейский
корра корр
коррозийный коррозийно
космический космических
кри кри
крымскотатарский крымскотатарский
кумыкский кумыкский
курдский курдский
кхмерский кхмерский
лата лат
латинский латинский
латышский латышский
ледник ледника
лекс лекс
лингала лингала
литовский литовский
люксембургский люксембургский
лёд льда
майя майя
македонский македонский
малайский малайский
маньчжурский маньчжурский
маори маори
марийский марийский
масса массы
материал материала материалов материалы
машиностроение машиностроению
медицинский медицинская медицинские
мера мера
механический механические механического механическую
микенский микенский
многоз многоз
мокшанский мокшанский
молдавский молдавский
монгольский монгольский
мышь мыши
набегать набегающего
нажать нажмите
найти найти
науатль науатль
научно научно
немецкий немецкий
нидерландский нидерландский
нный нный
ногайский ногайский
норвежский норвежский
носитель носителей
обвал обвалов
обламывание обламывания
обозначение обозначения
образование образования
обратный обратная
оплавление оплавления
определение определений
орган органа
орокский орокский
орф орф
осетинский осетинский
османский османский
основать основана
основной основные
откалывание откалывания
отнесение отнесение
отнимание отнимание
отнятие отнятие
папьяменто папьяменто
пасть пали
пенджабский пенджабский
перевод перевод переводах переводы
переводчик переводчика
персидский персидский
поверхностный поверхностную
поверхность поверхности
поделиться поделиться
подледниковый подледниковую
позднелат позднелат
позднелатинский позднелатинского
покров покрова
польский польский
пометить пометить
помочь поможем
популярный популярная
порода пород
португальский португальский
посредством посредством
поток потока потоком
почва почвы
пояснение пояснений
правый правой
прикладной прикладной
применяться применяются
процесс процесс
прямой прямая
путешествие путешествия
путём путем
работа работу
различать различают
разложение разложения
разрушение разрушение разрушения
ракета ракет
раскалывание раскалывания
ред ред
результат результат результате
рей рей
реклама реклама
решить решить
румынский румынский
русский русский русских русского
сайт сайт сайте сайты
санскрит санскрит
связь связь
сделать сделанные
сдувание сдувания
северносаамский северносаамский
сербский сербский
сефардский сефардский
силезский силезский
синоним синоним синонимов синонимы
сис сис
скальный скальных
словарь словарей словари словарь словарях
словацкий словацкий
словенский словенский
смотреть смотреть
снег снега
снежный снежного
снос снос
сопровождать сопровождаемое
справочник справочник
ссылка ссылка ссылкой ссылку
старославянский старославянский
статья статья
строительный строительных
суахили суахили
сублимация сублимации
сущий сущ
счёт счет
сэс сэс
тагальский тагальский
таджикский таджикский
тайский тайский
татарский татарский
таяние таяния
тви тви
твёрдый твердого твёрдого
текст текст
тело тела
теплозащитный теплозащитные
термин терминов термины
техника техники
технический технический технического
техподдержка техподдержка
тибетский тибетский
толкование толкование толкования
толковый толковый
том томах
тофаларский тофаларский
тувинский тувинский
турецкий турецкий
туркменский туркменский
убыль убыли
удаление удаление удаления
удмуртский удмуртский
узбекский узбекский
уйгурский уйгурский
украинский украинский
уменьшение уменьшение уменьшения
унос унос уносом
урд урду
урумский урумский
устранение устранение
фактор факторов
фарерский фарерский
финский финский
французский французский
химический химической
хинди хинди
хирургический хирургическое
хорватский хорватский
церковнославянский церковнославянский
ция ция
частица частиц
часть частей части
черкесский черкесский
чероки чероки
чеченский чеченский
чешский чешский
чувашский чувашский
шайенский шайенского
шведский шведский
шорский шорский
шумерский шумерский
эвенкийский эвенкийский
экологический экологический
экология экологии
экспорт экспорт
эльзасский эльзасский
энциклопедический энциклопедический
энциклопедия энциклопедии энциклопедия
эрзянский эрзянский
эрозионный эрозионное
эрозия эрозии
эсперанто эсперанто
эстонский эстонский
юпийский юпийский
язык язык языка языки
якутский якутский
японский японский
